X,Y,OBJECTID,SchoolCode,School,PhysicalAddress,ESDCode,ESDName,LEACode,LEAName,SchoolCategory,AYPCode,GradeCategory,LowestGrade,HighestGrade,TK,CongressionalDistrict,LegislativeDistrict,County,GeoCoded_Y,GeoCoded_X,BldgLatitude,BldgLongitude
-13065874.982464,6039902.87464811,1472,4035,Mullan Road Elementary School,"2616 E 63rd Ave, Spokane, WA 99223-6918",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Elementary School,PK,6,Yes,Congressional District 5,Legislative District 9,Spokane,47.596038,-117.373213,47.595994,-117.372766
-13648168.6624082,6018734.1792661,1473,4350,Mullenix Ridge Elementary School,"3900 SE Mullenix Rd, Port Orchard, WA 98367-9708",18801,Olympic Educational Service District 114,18402,South Kitsap School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 6,Legislative District 26,Kitsap,47.467663,-122.603514,47.4676,-122.6036
-13304636.7456919,6176694.78965911,1474,2999,N Omak Elementary School,"615 Oak St, Omak, WA 98841",4801,North Central Educational Service District 171,24019,Omak School District,"Public School,Regular School",P,Elementary School,PK,2,No,Congressional District 4,Legislative District 7,Okanogan,48.417953,-119.5174,48.4181,-119.5176
-13622676.5078435,5988208.41100822,1475,2247,N.E. Tacoma Elementary School,"5412 29th St NE, Tacoma, WA 98422-3204",17801,Puget Sound Educational Service District 121,27010,Tacoma School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 6,Legislative District 27,Pierce,47.281925,-122.374868,47.2819,-122.3746
-13624179.3250718,5961273.28273745,1476,4102,Naches Trail Elementary School,"15505 Waller Rd E, Tacoma, WA 98446-1503",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 10,Legislative District 2,Pierce,47.116015,-122.387728,47.1175,-122.3881
-13434536.4833451,5896991.90290399,1477,5451,Naches Valley Elementary School,"151 Bonlow Dr, Naches, WA 98937-1139",39801,Educational Service District 105,39003,Naches Valley School District,"Public School,Regular School",P,Elementary School,PK,4,Yes,Congressional District 4,Legislative District 15,Yakima,46.723103,-120.683959,46.723096,-120.684509
-13436639.4193065,5899103.82194878,1478,2591,Naches Valley High School,"101 W 5th St, Naches, WA 98937-8810",39801,Educational Service District 105,39003,Naches Valley School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 4,Legislative District 15,Yakima,46.736435,-120.702901,46.7361,-120.7034
-13608168.3354697,6092372.95070496,1479,2898,Naches Valley Middle School,"32 Shafer Ave, Naches, WA 98937-9744",39801,Educational Service District 105,39003,Naches Valley School District,"Public School,Regular School",P,Middle School,5,8,No,Congressional District 4,Legislative District 38,Yakima,46.729813,-120.696076,47.912883,-122.244271
-13681836.0353596,5873542.02630331,1480,3288,Napavine Elementary School,"209 E Park St, Napavine, WA 98565-1512",34801,Capital Region ESD 113,21014,Napavine School District,"Public School,Regular School",P,Elementary School,PK,6,No,Congressional District 3,Legislative District 20,Lewis,46.578205,-122.906148,46.578494,-122.906039
-13681597.9230318,5873316.26784384,1481,2273,Napavine Jr Sr High School,"404 4th Ave NE, Napavine, WA 98565",34801,Capital Region ESD 113,21014,Napavine School District,"Public School,Regular School",P,Other,7,12,No,Congressional District 3,Legislative District 20,Lewis,46.578053,-122.904034,46.5771,-122.9039
-13641266.8615817,5977712.79496274,1482,3296,Narrows View Intermediate School,"7813 44th St W, Fircrest, WA 98466-3014",17801,Puget Sound Educational Service District 121,27083,University Place School District,"Public School,Regular School",P,Middle School,5,7,No,Congressional District 10,Legislative District 28,Pierce,47.218207,-122.541827,47.2179,-122.5416
-13781551.5721487,5840927.14596763,1483,2868,Naselle-Grays River Valley Elementary School,"793 State Route 4, Naselle, WA 98638-8541",6801,Educational Service District 112,25155,Naselle-Grays River Valley School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 3,Legislative District 19,Pacific,46.376881,-123.801765,46.376734,-123.801799
-13781551.5721487,5840927.14596763,1484,3295,Naselle-Grays River Valley Jr Sr High Schools,"793 State Route 4, Naselle, WA 98638-8541",6801,Educational Service District 112,25155,Naselle-Grays River Valley School District,"Public School,Regular School",P,Other,6,12,No,Congressional District 3,Legislative District 19,Pacific,46.376881,-123.801765,46.376734,-123.801799
-13613721.9582568,6058330.37436147,1485,3479,Nathan Hale High School,"10750 30th Ave NE, Seattle, WA 98125-7937",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,High School,9,12,No,Congressional District 7,Legislative District 46,King,47.708041,-122.294727,47.707505,-122.29416
-13616887.893761,5998174.58694175,1486,3625,Nautilus K-8 School,"1000 S 289th St, Federal Way, WA 98003-3709",17801,Puget Sound Educational Service District 121,17210,Federal Way School District,"Public School,Regular School",P,Other,K,8,No,Congressional District 9,Legislative District 30,King,47.342592,-122.322277,47.3426,-122.3226
-13653165.122828,6035545.0785196,1487,3171,Naval Avenue Elementary School,"900 Olympic Ave, Bremerton, WA 98312-3825",18801,Olympic Educational Service District 114,18100,Bremerton School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 6,Legislative District 26,Kitsap,47.569676,-122.648446,47.569588,-122.648484
-13872900.391154,6167491.57841346,1488,2594,Neah Bay Elementary School,"3560 Deer St, Neah Bay, WA 98357-3900",18801,Olympic Educational Service District 114,5401,Cape Flattery School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 6,Legislative District 24,Clallam,48.363539,-124.623092,48.3632,-124.6224
-13872900.391154,6167491.57841346,1489,3145,Neah Bay Junior/ Senior High School,"3560 Deer St, Neah Bay, WA 98357-3900",18801,Olympic Educational Service District 114,5401,Cape Flattery School District,"Public School,Regular School",P,Other,6,12,No,Congressional District 6,Legislative District 24,Clallam,48.363539,-124.623092,48.3632,-124.6224
-13609529.67532,6006195.24460081,1490,4356,Neely O Brien Elementary School,"6300 S 236th St, Kent, WA 98032-2690",17801,Puget Sound Educational Service District 121,17415,Kent School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 9,Legislative District 33,King,47.391594,-122.256305,47.3914,-122.2565
-13634926.3256303,5986668.20683076,1491,5780,Nell Hoyt Day School,"2708 N Union Ave, Tacoma, WA 98407-5824",17801,Puget Sound Educational Service District 121,27010,Tacoma School District,"Public School,Alternative School",A,Other,K,8,No,Congressional District 6,Legislative District 27,Pierce,47.272725,-122.484664,47.272513,-122.484642
