X,Y,OBJECTID,SchoolCode,School,PhysicalAddress,ESDCode,ESDName,LEACode,LEAName,SchoolCategory,AYPCode,GradeCategory,LowestGrade,HighestGrade,TK,CongressionalDistrict,LegislativeDistrict,County,GeoCoded_Y,GeoCoded_X,BldgLatitude,BldgLongitude
-13603218.7336197,6117032.27711865,1,1656,10th Street School,"7204 27th Ave NE, Marysville, WA 98271-9162",29801,Northwest Educational Service District 189,31025,Marysville School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 2,Legislative District 38,Snohomish,48.061553,-122.195681,48.061145,-122.199808
-13686472.4813965,5938463.04592353,2,4500,A G West Black Hills High School,"7741 Littlerock Rd SW, Tumwater, WA 98512-7427",34801,Capital Region ESD 113,34033,Tumwater School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 10,Legislative District 22,Thurston,46.977864,-122.94776,46.977878,-122.947689
-13785570.3014409,5937504.07241712,3,2834,A J West Elementary School,"1801 Bay Ave, Aberdeen, WA 98520-5510",34801,Capital Region ESD 113,14005,Aberdeen School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 6,Legislative District 24,Grays Harbor,46.972081,-123.837981,46.972,-123.8379
-13070889.2545651,6052847.08103746,4,1533,A-3 Multiagency Adolescent Prog,"1807 N Washington St, Spokane, WA 99205-4758",32801,Educational Service District 101,32081,Spokane School District,"Public School,Alternative School",A,Other,6,12,No,Congressional District 5,Legislative District 3,Spokane,47.674331,-117.417732,47.674349,-117.41781
-13392835.189937,6008760.7575252,5,3209,Abraham Lincoln Elementary School,"1224 Methow St, Wenatchee, WA 98801-3552",4801,North Central Educational Service District 171,4246,Wenatchee School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 8,Legislative District 12,Chelan,47.407042,-120.309519,47.407,-120.3099
-13628503.1960887,5960726.43427452,6,5754,Academy for Community Transition,"15710 5th Ave E, Tacoma, WA 98445-1103",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Special Education School",S,High School,12,13,No,Congressional District 10,Legislative District 29,Pierce,47.114168,-122.426953,47.114157,-122.426942
-13629444.2909866,5959891.25928761,7,5372,Acceleration Academy,"16218 Pacific Ave S, Spanaway, WA 98387-8612",17801,Puget Sound Educational Service District 121,27403,Bethel School District,"Public School,Re-Engagement School",R,High School,9,12,No,Congressional District 10,Legislative District 29,Pierce,47.109041,-122.435442,47.109051,-122.435396
-13608171.5638514,6092010.39682177,8,4247,ACES High School,"9700 Holly Dr, Everett, WA 98204-2678",29801,Northwest Educational Service District 189,31006,Mukilteo School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 2,Legislative District 38,Snohomish,47.910953,-122.243584,47.9107,-122.2443
-13604208.5679292,6227280.67506606,9,2585,Acme Elementary School,"5200 Turkington Rd, Acme, WA 98220-9600",29801,Northwest Educational Service District 189,37507,Mount Baker School District,"Public School,Regular School",P,Elementary School,K,6,No,Congressional District 2,Legislative District 40,Whatcom,48.718775,-122.208821,48.7188,-122.2087
-13624602.3243769,6052706.81134462,10,2138,Adams Elementary School (Seattle),"6110 28th Ave NW, Seattle, WA 98107-5314",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 7,Legislative District 36,King,47.673499,-122.392119,47.6735,-122.3919
-13047344.0742023,6048839.0805351,11,3259,Adams Elementary School (Spokane Valley),"14707 E 8th Ave, Spokane Valley, WA 99037-9670",32801,Educational Service District 101,32356,Central Valley School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 5,Legislative District 4,Spokane,47.650261,-117.206647,47.6501,-117.2063
-13065311.0372902,6044081.29115253,12,2156,Adams Elementary School (Spokane),"2909 E 37th Ave, Spokane, WA 99223-4519",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Elementary School,PK,6,Yes,Congressional District 5,Legislative District 3,Spokane,47.621258,-117.367823,47.6213,-117.3677
-13404630.1804093,5850482.2567211,13,4518,Adams Elementary School (Wapato),"1309 S Camas Ave, Wapato, WA 98951-8735",39801,Educational Service District 105,39207,Wapato School District,"Public School,Regular School",P,Elementary School,3,5,No,Congressional District 4,Legislative District 14,Yakima,46.435882,-120.415803,46.435921,-120.415856
-13412917.2432124,5876199.37429909,14,2592,Adams Elementary School (Yakima),"723 S 8th St, Yakima, WA 98901-3322",39801,Educational Service District 105,39007,Yakima School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 4,Legislative District 14,Yakima,46.594821,-120.490066,46.5949,-120.4903
-13620656.2808462,5995939.65771812,15,3519,Adelaide Elementary School,"1635 SW 304th St, Federal Way, WA 98023-3431",17801,Puget Sound Educational Service District 121,17210,Federal Way School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 9,Legislative District 30,King,47.329039,-122.356663,47.328994,-122.356452
-13698908.0996498,5883249.30082828,16,2227,Adna Elementary School,"220 Dieckman Rd, Chehalis, WA 98532-9653",34801,Capital Region ESD 113,21226,Adna School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 3,Legislative District 19,Lewis,46.63869,-123.059175,46.6384,-123.0594
-13698618.6691668,5881936.13483861,17,2441,Adna Middle/High School,"121 Adna School Rd, Chehalis, WA 98532",34801,Capital Region ESD 113,21226,Adna School District,"Public School,Regular School",P,Other,6,12,No,Congressional District 3,Legislative District 19,Lewis,46.630897,-123.056705,46.6303,-123.0568
-13430750.6237685,5868863.78777431,18,2822,Ahtanum Valley Elementary School,"3006 S Wiley Rd, Yakima, WA 98903-9720",39801,Educational Service District 105,39208,West Valley School District (Yakima),"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 4,Legislative District 15,Yakima,46.549602,-120.650364,46.5496,-120.6505
-13590663.6819688,6094718.70723215,19,4265,AIM High School,"525 13th St, Snohomish, WA 98290-1833",29801,Northwest Educational Service District 189,31201,Snohomish School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 1,Legislative District 44,Snohomish,47.927253,-122.087021,47.927005,-122.087024
-13612423.9773992,6031736.56494924,20,3774,Aki Kurose Middle School,"3928 S Graham St, Seattle, WA 98118-3172",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 9,Legislative District 37,King,47.546322,-122.28198,47.5465,-122.2825
-13611135.6778074,6028296.85755087,21,3778,Alan T. Sugiyama High School,"8601 Rainier Ave S, Seattle, WA 98118-4630",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Alternative School",A,High School,9,12,No,Congressional District 9,Legislative District 37,King,47.52567,-122.270913,47.525639,-122.270927
-13591918.9264368,6057403.19350552,22,4424,Albert Einstein Elementary School,"18025 NE 116th St, Redmond, WA 98052-2816",17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 1,Legislative District 45,King,47.702227,-122.098174,47.7019,-122.0983
-13621374.0570997,6068625.35147827,23,3674,Albert Einstein Middle School,"19343 3rd Ave NW, Shoreline, WA 98177-3012",17801,Puget Sound Educational Service District 121,17412,Shoreline School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 7,Legislative District 32,King,47.769705,-122.362874,47.7697,-122.3629
-13639652.6863328,6237410.43371412,24,3200,Alderwood Elementary School,"3400 Hollywood Ave, Bellingham, WA 98225-1134",29801,Northwest Educational Service District 189,37501,Bellingham School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 2,Legislative District 42,Whatcom,48.778356,-122.525947,48.7788,-122.5271
-13608726.8272193,6080390.20087615,25,3560,Alderwood Middle School,"1132 172nd St SW, Lynnwood, WA 98037-8255",29801,Northwest Educational Service District 189,31015,Edmonds School District,"Public School,Regular School",P,Middle School,7,8,No,Congressional District 1,Legislative District 21,Snohomish,47.840684,-122.249083,47.840684,-122.249288
-13645055.6213287,5968699.96521799,26,1825,Alfaretta House,"10320 Farwest Dr SW, Lakewood, WA 98498-1747",17801,Puget Sound Educational Service District 121,27400,Clover Park School District,"Public School,Special Education School",S,High School,11,12,No,Congressional District 10,Legislative District 28,Pierce,47.162834,-122.575495,47.16288,-122.575635
-13626372.3066647,6036834.09140453,27,2181,Alki Elementary School,"3010 59th Ave SW, Seattle, WA 98116-2820",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 7,Legislative District 34,King,47.577357,-122.407719,47.5774,-122.4078
-13657622.400841,5736149.36271267,28,4406,Alki Middle School,"1800 NW Bliss Rd, Vancouver, WA 98685-1823",6801,Educational Service District 112,6037,Vancouver School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 3,Legislative District 18,Clark,45.724265,-122.685539,45.723501,-122.688524
-13597505.8185132,6116002.65260239,29,4454,Allen Creek Elementary School,"6505 60th Pl NE, Marysville, WA 98270-9573",29801,Northwest Educational Service District 189,31025,Marysville School District,"Public School,Regular School",P,Elementary School,PK,6,No,Congressional District 1,Legislative District 38,Snohomish,48.04988,-122.14331,48.054963,-122.148488
-13622620.8146789,6192005.39217664,30,3603,Allen Elementary School,"17145 Cook Rd, Bow, WA 98232-9797",29801,Northwest Educational Service District 189,29100,Burlington-Edison School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 2,Legislative District 40,Skagit,48.50916,-122.37413,48.5093,-122.3741
-13279717.3470832,6042894.10297671,31,2968,Almira Coulee Hartline High School,"413 N 4th St, Coulee City, WA 99115-5002",4801,North Central Educational Service District 171,13151,Coulee-Hartline School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 4,Legislative District 13,Grant,47.613963,-119.293739,47.614111,-119.293745
-13240472.2217949,6058296.40126317,32,2860,Almira Elementary School,"310 S 3rd St, Almira, WA 99103",32801,Educational Service District 101,22017,Almira School District,"Public School,Regular School",P,Other,K,8,No,Congressional District 5,Legislative District 9,Lincoln,47.707397,-118.941193,47.7073,-118.9412
-13608694.7823867,5986419.97726375,33,3825,Alpac Elementary School,"310 Milwaukee Blvd N, Pacific, WA 98047-1122",17801,Puget Sound Educational Service District 121,17408,Auburn School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 9,Legislative District 30,King,47.270991,-122.248998,47.271,-122.249
-13431991.6978537,6040833.67974653,34,2827,Alpine Lakes Elementary School,"500 Pine St, Leavenworth, WA 98826-1132",4801,North Central Educational Service District 171,4228,Cascade School District,"Public School,Regular School",P,Elementary School,3,5,No,Congressional District 8,Legislative District 12,Chelan,47.601586,-120.661605,47.601632,-120.661649
-13376861.4859293,6180486.63577989,35,1845,Alternative Educational Experience,"18 Twin Lakes Access Rd, Winthrop, WA 98862-5706",4801,North Central Educational Service District 171,24350,Methow Valley School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 4,Legislative District 7,Okanogan,48.443476,-120.188969,48.440702,-120.166406
-13066047.9703212,6056104.73225961,36,1566,Alternative Northeast Community Center Preschool,"4001 N Cook St, Spokane, WA 99207-5879",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,PK Only,PK,PK,No,Congressional District 5,Legislative District 6,Spokane,47.694142,-117.374084,47.69405,-117.37432
-13630587.2042759,5983981.25235378,37,1514,Alternative Spec. Needs Div Occ (Tacoma),"601 S 8th St, Tacoma, WA 98402-4614",17801,Puget Sound Educational Service District 121,27010,Tacoma School District,"Public School,Special Education School",S,High School,10,12,No,Congressional District 6,Legislative District 27,Pierce,47.25638,-122.445835,47.256133,-122.445663
-13075262.9965815,6053120.03497868,38,1604,Alternative Tamarack School,"2901 W Fort George Wright Dr, Spokane, WA 99224",32801,Educational Service District 101,32081,Spokane School District,Institution,I,Other,7,12,No,Congressional District 5,Legislative District 3,Spokane,47.677769,-117.456506,47.676,-117.4571
-13630290.7939197,5766465.47135257,39,2671,Amboy Middle School,"22115 NE Chelatchie Rd, Amboy, WA 98601-3813",6801,Educational Service District 112,6119,Battle Ground School District,"Public School,Regular School",P,Middle School,5,8,No,Congressional District 3,Legislative District 20,Clark,45.911847,-122.442895,45.9133,-122.443
-13261609.9343024,5813680.5708615,40,4418,Amistad Elementary School,"123 S Kent St, Kennewick, WA 99336-5020",11801,Educational Service District 123,3017,Kennewick School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 4,Legislative District 8,Benton,46.207642,-119.131163,46.20761,-119.131083
-13275241.3374319,5814098.8066069,41,5520,Amon Creek Elementary School,"18 Center Pkwy, Richland, WA 99352-8571",11801,Educational Service District 123,3017,Kennewick School District,"Public School,Affiliated With District",P,Elementary School,PK,5,No,Congressional District 4,Legislative District 8,Benton,46.210212,-119.253205,46.21021,-119.253536
-13650281.8112956,6191686.31422465,42,2467,Anacortes High School,"1600 20th Street, Anacortes, WA 98221-3700",29801,Northwest Educational Service District 189,29103,Anacortes School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 2,Legislative District 40,Skagit,48.507387,-122.622374,48.507401,-122.622583
-13649793.8982213,6191047.68091833,43,2707,Anacortes Middle School,"2202 M Ave, Anacortes, WA 98221-3728",29801,Northwest Educational Service District 189,29103,Anacortes School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 2,Legislative District 40,Skagit,48.503128,-122.617843,48.5036,-122.6182
-13341143.663744,5980654.50540467,44,5585,Ancient Lakes Elementary School,"417 C St SE, Quincy, WA 98848-1488",4801,North Central Educational Service District 171,13144,Quincy School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 4,Legislative District 13,Grant,47.235769,-119.84569,47.235846,-119.845547
-13660320.860677,5968757.92670679,45,2040,Anderson Island Elementary School,"13005 Camus Rd, Anderson Island, WA 98303-8728",17801,Puget Sound Educational Service District 121,27001,Steilacoom Hist. School District,"Public School,Regular School",P,Elementary School,PK,3,Yes,Congressional District 10,Legislative District 28,Pierce,47.162964,-122.712462,47.163234,-122.712765
-13632116.4010484,5976729.47897837,46,4575,Angelo Giaudrone Middle School,"4902 S Alaska St, Tacoma, WA 98408-1411",17801,Puget Sound Educational Service District 121,27010,Tacoma School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 6,Legislative District 29,Pierce,47.212049,-122.45967,47.2119,-122.4594
-13596449.6343746,6023626.3136874,47,3746,Apollo Elementary School,"15025 SE 117th St, Renton, WA 98059-6017",17801,Puget Sound Educational Service District 121,17411,Issaquah School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 8,Legislative District 5,King,47.497347,-122.138866,47.4973,-122.139
-13427811.7885448,5876636.79070355,48,3699,Apple Valley Elementary School,"7 N 88th Ave, Yakima, WA 98908-1499",39801,Educational Service District 105,39208,West Valley School District (Yakima),"Public School,Regular School",P,Elementary School,K,5,Yes,Congressional District 4,Legislative District 15,Yakima,46.597735,-120.624157,46.5976,-120.6241
-13623127.4571254,6025677.55835846,49,2730,Arbor Heights Elementary School,"3701 SW 104th St, Seattle, WA 98146-1151",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 7,Legislative District 34,King,47.509647,-122.378515,47.509748,-122.378651
-13075374.3089115,6098556.23932452,50,2173,Arcadia Elementary School,"1120 E D St, Deer Park, WA 99006-2400",32801,Educational Service District 101,32414,Deer Park School District,"Public School,Regular School",P,Elementary School,3,5,No,Congressional District 5,Legislative District 7,Spokane,47.950105,-117.45808,47.9501,-117.4581
-13594056.2620152,6047104.25243922,51,3633,Ardmore Elementary School,"16616 NE 32nd St, Bellevue, WA 98008-2006",17801,Puget Sound Educational Service District 121,17405,Bellevue School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 1,Legislative District 48,King,47.639491,-122.117929,47.6396,-122.1175
-13065878.764153,6059768.80780064,52,2381,Arlington Elementary School (Spokane),"6363 N Smith St, Spokane, WA 99217-7616",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 5,Legislative District 6,Spokane,47.716235,-117.372538,47.7162,-117.3728
-13633789.7559359,5973391.46469985,53,2940,Arlington Elementary School (Tacoma),"7202 S Pine St, Tacoma, WA 98409-5907",17801,Puget Sound Educational Service District 121,27010,Tacoma School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 6,Legislative District 29,Pierce,47.191429,-122.474529,47.191527,-122.474432
-13593777.94894,6134548.31944237,54,2523,Arlington High School,"18821 Crown Ridge Blvd, Arlington, WA 98223-4015",29801,Northwest Educational Service District 189,31016,Arlington School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 1,Legislative District 10,Snohomish,48.166505,-122.115209,48.1662,-122.115
-13599919.6673147,6132363.17491131,55,5495,Arlington Open Doors,"4407 172nd St NE, Arlington, WA 98223-8759",29801,Northwest Educational Service District 189,31016,Arlington School District,"Public School,Re-Engagement School",R,High School,9,12,No,Congressional District 1,Legislative District 10,Snohomish,48.153062,-122.170034,48.153106,-122.170172
-13594560.0787246,6139482.05098084,56,2277,Arlington Special Educ School,"315 S French Ave, Arlington, WA 98223-1617",29801,Northwest Educational Service District 189,31016,Arlington School District,Public School,P,PK-12,PK,12,No,Congressional District 1,Legislative District 10,Snohomish,48.189602,-122.122282,48.195752,-122.122026
-13651733.219797,6039379.85913357,57,3641,Armin Jahr Elementary School,"800 Dibb St, Bremerton, WA 98310-2777",18801,Olympic Educational Service District 114,18100,Bremerton School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 6,Legislative District 23,Kitsap,47.59278,-122.635793,47.592825,-122.635621
-13608973.0687284,6063260.72749033,58,3107,Arrowhead Elementary School,"6725 NE Arrowhead Dr, Kenmore, WA 98028-4343",17801,Puget Sound Educational Service District 121,17417,Northshore School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 1,Legislative District 1,King,47.737059,-122.251691,47.7373,-122.2515
-13599612.8927023,5997758.9612065,59,5082,Arthur Jacobsen Elementary School,"29205 132nd Ave SE, Auburn, WA 98092-2142",17801,Puget Sound Educational Service District 121,17408,Auburn School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 8,Legislative District 47,King,47.340083,-122.168024,47.34007,-122.167416
-13650150.1535179,5990276.2358046,60,3299,Artondale Elementary School,"6219 40th St NW, Gig Harbor, WA 98335-7208",17801,Puget Sound Educational Service District 121,27401,Peninsula School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 6,Legislative District 26,Pierce,47.294559,-122.623029,47.2945,-122.6214
-13357257.5164794,5814917.64888769,61,3070,Artz Fox Elementary School,"805 Washington St, Mabton, WA 98935",39801,Educational Service District 105,39120,Mabton School District,"Public School,Regular School",P,Elementary School,K,6,Yes,Congressional District 4,Legislative District 14,Yakima,46.215325,-119.990219,46.2153,-119.9903
-13030078.4566053,5835082.51462355,62,2507,Asotin Elementary School,"314 1st St, Asotin, WA 99402",11801,Educational Service District 123,2420,Asotin-Anatone School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 5,Legislative District 9,Asotin,46.340272,-117.051212,46.3405,-117.0512
-13030145.2482402,5835034.14088484,63,2434,Asotin Jr Sr High School,"215 2nd St, Asotin, WA 99402",11801,Educational Service District 123,2420,Asotin-Anatone School District,"Public School,Regular School",P,Other,6,12,No,Congressional District 5,Legislative District 9,Asotin,46.340286,-117.052084,46.3402,-117.0518
-13617649.7355123,6172812.98731228,64,5625,Aspire Academy,"3302 Cedardale Rd, Mount Vernon, WA 98274-9502",29801,Northwest Educational Service District 189,29320,Mount Vernon School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 2,Legislative District 10,Skagit,48.394944,-122.330023,48.394951,-122.329444
-13670632.9442554,5942236.39602527,65,5168,Aspire Performing Arts Academy,"5900 54th Ave SE, Lacey, WA 98513-4339",34801,Capital Region ESD 113,34003,North Thurston Public Schools,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 10,Legislative District 22,Thurston,47.000951,-122.805441,47.001,-122.8054
-13780771.5495002,5886946.36389033,66,5766,Astravo Online Academy (Raymond),"304 Adams St S, South Bend, WA 98586",34801,Capital Region ESD 113,25118,South Bend School District,"Public School,Affiliated With District",P,K-12,K,12,No,Congressional District 3,Legislative District 19,Pacific,46.661181,-123.794794,46.661198,-123.794792
-13780431.9138341,5887038.98035237,67,5243,Astravo Online Academy (South Bend),"400 First St E, South Bend, WA 98586",34801,Capital Region ESD 113,25118,South Bend School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 3,Legislative District 19,Pacific,46.662206,-123.792502,46.661769,-123.791741
-13600100.3606712,5998075.68715801,68,5037,Auburn Mountainview High School,"28900 124th Ave SE, Auburn, WA 98092-3101",17801,Puget Sound Educational Service District 121,17408,Auburn School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 8,Legislative District 47,King,47.341981,-122.171873,47.341998,-122.171795
-13607115.7147235,5992529.40116802,69,5522,Auburn Opportunity Project,"401 W Main St, Auburn, WA 98001-5275",17801,Puget Sound Educational Service District 121,17408,Auburn School District,"Public School,Re-Engagement School",R,High School,9,12,No,Congressional District 9,Legislative District 47,King,47.308185,-122.234762,47.308226,-122.234815
-13605711.4206169,5985895.00259261,70,4474,Auburn Riverside High School,"501 Oravetz Rd SE, Auburn, WA 98092-8621",17801,Puget Sound Educational Service District 121,17408,Auburn School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 8,Legislative District 31,King,47.267763,-122.222181,47.2678,-122.2222
-13605484.2163907,5992703.099647,71,2795,Auburn Senior High School,"711 E Main St, Auburn, WA 98002-5662",17801,Puget Sound Educational Service District 121,17408,Auburn School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 9,Legislative District 47,King,47.308593,-122.219708,47.309284,-122.220159
-13073604.3363663,6053781.37477131,72,2128,Audubon Elementary School,"2020 W Carlisle Ave, Spokane, WA 99205-3773",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 5,Legislative District 3,Spokane,47.679965,-117.442186,47.68,-117.4422
-13679772.2719424,5949176.36931833,73,1768,Avanti High School,"1113 Legion Way SE, Olympia, WA 98501-1652",34801,Capital Region ESD 113,34111,Olympia School District,"Public School,Alternative School",A,High School,9,12,No,Congressional District 10,Legislative District 22,Thurston,47.043513,-122.887609,47.0435,-122.8875
-13615824.0174485,5973655.36953944,74,3447,Aylen Jr High School,"101 15th St SW, Puyallup, WA 98371-5251",17801,Puget Sound Educational Service District 121,27003,Puyallup School District,"Public School,Regular School",P,Jr High,7,9,No,Congressional District 10,Legislative District 25,Pierce,47.193038,-122.313061,47.193138,-122.313043
-13619837.8514271,6049599.340255,75,3717,B F Day Elementary School,"3921 Linden Ave N, Seattle, WA 98103-7803",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 7,Legislative District 43,King,47.654757,-122.349049,47.6547,-122.3491
-13277207.6840784,5817846.09864197,76,4060,Badger Mountain Elementary School,"1515 Elementary St, Richland, WA 99352-8646",11801,Educational Service District 123,3400,Richland School District,"Public School,Regular School",P,Elementary School,K,5,No,Congressional District 4,Legislative District 8,Benton,46.234489,-119.270074,46.2335,-119.2712
-13616097.5185412,6040745.88025964,77,2307,Bailey Gatzert Elementary School,"1301 E Yesler Way, Seattle, WA 98144-5430",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 9,Legislative District 37,King,47.601144,-122.315608,47.6011,-122.3155
-13639196.3082896,6046856.44309004,78,2395,Bainbridge High School,"9330 NE High School Rd, Bainbridge Island, WA 98110-2619",17801,Puget Sound Educational Service District 121,18303,Bainbridge Island School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 6,Legislative District 23,Kitsap,47.636245,-122.523952,47.6381,-122.523
-13639058.9399573,6046964.49025446,79,1939,Bainbridge Special Education Services,"8489 Madison Ave N, Bainbridge Island, WA 98110-2915",17801,Puget Sound Educational Service District 121,18303,Bainbridge Island School District,"Public School,Special Education School",S,PK-12,PK,12,No,Congressional District 6,Legislative District 23,Kitsap,47.638784,-122.521702,47.638754,-122.521766
-13630683.6087816,5972108.57105803,80,3054,Baker Middle School,"8001 S J St, Tacoma, WA 98408-2800",17801,Puget Sound Educational Service District 121,27010,Tacoma School District,"Public School,Regular School",P,Middle School,6,8,No,Congressional District 10,Legislative District 29,Pierce,47.183627,-122.446536,47.183695,-122.446529
-13075140.5440107,6060083.18171289,81,3357,Balboa Elementary School,"3010 W Holyoke Ave, Spokane, WA 99208-4635",32801,Educational Service District 101,32081,Spokane School District,"Public School,Regular School",P,Elementary School,PK,5,Yes,Congressional District 5,Legislative District 3,Spokane,47.718191,-117.456325,47.7181,-117.456
-13622665.3654498,6053268.91983342,82,2220,Ballard High School,"1418 NW 65th St, Seattle, WA 98117-5237",17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,"Public School,Regular School",P,High School,9,12,No,Congressional District 7,Legislative District 36,King,47.676708,-122.375443,47.6769,-122.3745
-13614004.7249051,5963629.23149113,83,3750,Ballou Jr High School,"9916 136th St E, Puyallup, WA 98373-5667",17801,Puget Sound Educational Service District 121,27003,Puyallup School District,"Public School,Regular School",P,Jr High,7,9,No,Congressional District 10,Legislative District 25,Pierce,47.13228,-122.296025,47.1319,-122.2967
-13265903.0792669,5825226.4257249,84,5391,Barbara McClintock STEM Elementary School,"5706 Road 60, Pasco, WA 99301-9597",11801,Educational Service District 123,11001,Pasco School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 4,Legislative District 16,Franklin,46.279172,-119.169819,46.279341,-119.169649
-13414987.7848607,5879456.20270496,85,3138,Barge-Lincoln Elementary School,"219 E I St, Yakima, WA 98901-1999",39801,Educational Service District 105,39007,Yakima School District,"Public School,Regular School",P,Elementary School,PK,5,No,Congressional District 4,Legislative District 15,Yakima,46.615293,-120.508589,46.615,-120.5089
-13651268.2376262,6044253.64398514,86,5472,Barker Creek Community School,"1400 NE McWilliams Rd, Bremerton, WA 98311-3150",18801,Olympic Educational Service District 114,18401,Central Kitsap School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 6,Legislative District 23,Kitsap,47.622341,-122.631462,47.622343,-122.631444
-13682043.2112739,5805977.41475482,87,3323,Barnes Elementary School,"401 Barnes St, Kelso, WA 98626-3904",6801,Educational Service District 112,8458,Kelso School District,"Public School,Regular School",P,Elementary School,K,5,Yes,Congressional District 3,Legislative District 19,Cowlitz,46.159701,-122.908489,46.1597,-122.9079
-13264105.3735091,5876264.15247529,88,3325,Basin City Elementary School,"303 Bailie Blvd, Mesa, WA 99343-9510",11801,Educational Service District 123,11051,North Franklin School District,"Public School,Regular School",P,Elementary School,K,6,Yes,Congressional District 5,Legislative District 16,Franklin,46.595345,-119.15426,46.5953,-119.1535
-13630724.9065482,5983336.21185126,89,5950,Bates Technical High School,"1101 Yakima Ave, Tacoma, WA 98405-4831",99999,Office of Superintendent of Public Instruction,27931,Bates Technical College,"Public School,Regular School,College/University",P,High School,9,12,No,Congressional District 6,Legislative District 27,Pierce,47.252291,-122.446599,47.2522,-122.4469
-13641088.7860175,5745466.2852399,90,2415,Battle Ground High School,"300 W Main St, Battle Ground, WA 98604-9177",6801,Educational Service District 112,6119,Battle Ground School District,"Public School,Regular School",P,High School,9,12,No,Congressional District 3,Legislative District 18,Clark,45.781888,-122.541036,45.7819,-122.54
-13641621.9938839,5743231.69995453,91,5749,Battle Ground Virtual Academy,"610 SW Eaton Blvd, Battle Ground, WA 98604-3314",6801,Educational Service District 112,6119,Battle Ground School District,"Public School,Alternative School",A,K-12,K,12,No,Congressional District 3,Legislative District 18,Clark,45.768127,-122.544232,45.7678990664,-122.544789886
