Agency,Clinic,Address,City,ZipCode,State,Longitude,Latitude,GeoDate,longitude,latitude
"Family Health Centers","Family Health Center-Omak","1003 Koala Ave","Omak",98841,"WA",-119.50131,48.42498,[object Object],48.424979999999984,-119.50131000000002
"Family Health Centers","Family Health Center-Twisp","315 S Lincoln, Room 1","Twisp",98856,"WA",-120.12039,48.363,[object Object],48.36300000000003,-120.12038999999997
"Family Health Centers","Family Health Center-Tonasket","17 S Western #2","Tonasket",98855,"WA",-119.43826,48.70793,[object Object],48.70792999999999,-119.43825999999994
"Family Health Centers","Family Health Center-Brewster","525 W Jay Ave","Brewster",98812,"WA",-119.78341,48.09996,[object Object],48.09996000000012,-119.78340999999998
"Family Health Centers","Family Health Center-Bridgeport","1400 COLUMBIA AVE","Bridgeport",98813,"WA",-119.67182,48.00801,[object Object],48.00801,-119.67182000000004
"Family Health Centers","Family Health Center-Oroville","1321 Main St","Oroville",98844,"WA",-119.43589,48.93811,[object Object],48.93811000000005,-119.43588999999999
"Garfield County Health District","Garfield CHD-Pomeroy","121 S 10th ST","Pomeroy",99347,"WA",-117.59723,46.473,[object Object],46.473000000000056,-117.59723
"Grays Harbor Co Public Health & Social Services","Grays Harbor CPHSS-Aberdeen","2109 SUMNER AVE","Aberdeen",98520,"WA",-123.84235,46.97556,[object Object],46.97556000000002,-123.84234999999998
"Island County Public Health","Island CPH-Camano Island","127 N East Camano Dr, Ste B","Camano Island",98282,"WA",-122.52686,48.20938,[object Object],48.209380000000046,-122.52685999999999
"Island County Public Health","Island CPH-Oak Harbor","1791 NE 1st Ave,  #2","Oak Harbor",98277,"WA",-122.63602,48.29849,[object Object],48.29849000000005,-122.63601999999999
"Island County Public Health","Island CPH-Langley","5475 Maxwelton Rd","Langley",98260,"WA",-122.40929,48.0107,[object Object],48.01070000000001,-122.40928999999998
"Jefferson County Public Health","Jefferson CPH-Quilcene","294843 Hwy 101","Quilcene",98376,"WA",-122.87589,47.82191,[object Object],47.82191000000001,-122.87589
"Jefferson County Public Health","Jefferson CPH-Chimacum","10 W Valley Rd","Chimacum",98325,"WA",-122.77737,48.01392,[object Object],48.01392000000002,-122.77736999999998
"Jefferson County Public Health","Jefferson CPH-Port Townsend","615 Sheridan","Port Townsend",98368,"WA",-122.79175,48.10423,[object Object],48.104230000000065,-122.79175
"Kitsap Comm Resources","Kitsap Comm Resources-Bremerton","845 8th St","Bremerton",98337,"WA",-122.63263,47.56897,[object Object],47.56896999999999,-122.63262999999998
"Kitsap Comm Resources","Kitsap Comm Resources-Port Orchard","3200 SE Rainshadow Court","Port Orchard",98366,"WA",-122.60971,47.52045,[object Object],47.52045,-122.60971
"Kitsap Comm Resources","Kitsap Comm Resources-Poulsbo","19917 7th Ave NE, Ste 205","Poulsbo",98370,"WA",-122.64068,47.74412,[object Object],47.74412000000001,-122.64068
"Kitsap Comm Resources","Kitsap Comm Resources-Silverdale","3513 NW Anderson Hill Rd","Silverdale",98383,"WA",-122.69901,47.64841,[object Object],47.64840999999999,-122.69900999999997
"Klickitat County Health Dept","Klickitat CHD-Goldendale","115 West Court St","Goldendale",98620,"WA",-120.82294,45.82148,[object Object],45.821479999999994,-120.82293999999996
"Klickitat County Health Dept","Klickitat CHD-White Salmon","501 NE Washington St","White Salmon",98672,"WA",-121.4838,45.7296,[object Object],45.729600000000055,-121.48380000000002
