Agency,Clinic,Address,City,ZipCode,State,Longitude,Latitude,GeoDate,longitude,latitude
"South Puget Intertribal Planning Agency","SPIPA-Chehalis Tribe-Oakville","21 Niederman Rd","Oakville",98568,"WA",-123.17122,46.81111,[object Object],46.81111,-123.17122
"South Puget Intertribal Planning Agency","SPIPA-Squaxin Island Tribe-Shelton","3104 Old Olympia Hwy","Shelton",98584,"WA",-123.08317,47.12413,[object Object],47.124130000000015,-123.08316999999997
"Spokane Regional Health District","Spokane RHD-North Spokane","N 5901 Lidgerwood, Ste 224","Spokane",99208,"WA",-117.40678,47.71203,[object Object],47.71203000000001,-117.40677999999997
"Spokane Regional Health District","Spokane RHD-East Central","S 500 Stone St","Spokane",99202,"WA",-117.37753,47.65121,[object Object],47.651210000000006,-117.37753000000004
"Spokane Regional Health District","Spokane RHD-Northeast Comm Center","4001 N Cook St","Spokane",99207,"WA",-117.37408,47.69414,[object Object],47.694140000000054,-117.37407999999998
"Spokane Regional Health District","Spokane RHD-Deer Park","E 113 - 2nd St","Deer Park",99006,"WA",-117.47488,47.95655,[object Object],47.95655,-117.47488
"Spokane Regional Health District","Spokane RHD-Valley Center","12213 E Broadway, Ste 5","Spokane Valley",99206,"WA",-117.23996,47.66467,[object Object],47.66467000000007,-117.23995999999995
"Spokane Tribe of Indians","Spokane Tribe of Indians-Wellpinit","6228 E Old School Road","Wellpinit",99040,"WA",-117.988,47.88968,[object Object],47.88968000000001,-117.98799999999997
"Suquamish Tribe","Suquamish Tribe-Suquamish","18490 Suquamish Way","Suquamish",98392,"WA",-122.55863,47.72856,[object Object],47.72856000000001,-122.55863000000001
"Swinomish Indian Tribal Community","Swinomish Indian Tribal Community-La Conner","17400 Reservation Rd","La Conner",98257,"WA",-122.50103,48.39426,[object Object],48.39426000000004,-122.50103000000001
"Tri Cities Comm Health","Tri Cities CH-Basin City","6950 Road 170","Mesa",99343,"WA",-119.14903,46.59091,[object Object],46.590910000000044,-119.14903000000002
"Tri Cities Comm Health","Tri Cities CH-Pasco","715 West Court St","Pasco",99301,"WA",-119.09754,46.24149,[object Object],46.24149000000007,-119.09753999999997
"Tri Cities Comm Health","Tri Cities CH-Richland","829 Goethals","Richland",99352,"WA",-119.28016,46.27817,[object Object],46.27817,-119.28015999999998
"Tulalip Tribes","Tulalip Health Clinic-Tulalip","7520 TOTEM BEACH RD","Tulalip",98271,"WA",-122.28222,48.06474,[object Object],48.064740000000064,-122.28221999999998
"UNITED GENERAL DISTRICT 304","UNITED GD 304-CONCRETE","45770 Main St","Concrete",98237,"WA",-121.74938,48.53862,[object Object],48.53861999999999,-121.74937999999997
"UNITED GENERAL DISTRICT 304","UNITED GD 304-SEDRO WOOLLEY","2031 C Hospital Dr","Sedro Woolley",98284,"WA",-122.27584,48.49462,[object Object],48.49462000000005,-122.27583999999996
"UNITED GENERAL DISTRICT 304","UNITED GD 304-STANWOOD","9612 271ST St NW","Stanwood",98292,"WA",-122.3633,48.2417,[object Object],48.24170000000004,-122.36329999999997
"Wahkiakum Health and Human Services","Wahkiakum HHS-Cathlamet","64 Main St","Cathlamet",98612,"WA",-123.38499,46.20281,[object Object],46.20281000000001,-123.38498999999997
"Walla Walla County Dept of Comm Health","Walla Walla CDCH-Broetje Orchard","1111 Fishhook Park Rd","Prescott",99348,"WA",-118.72489,46.31413,[object Object],46.314130000000056,-118.72489000000002
"Walla Walla County Dept of Comm Health","Walla Walla CDCH-Walla Walla","314 W Main St","Walla Walla",99362,"WA",-118.34407,46.06503,[object Object],46.065030000000036,-118.34406999999997
"West Central Comm Center","West Central CC-Airway Heights","13120 W 13th Ave","Airway Heights",99001,"WA",-117.59262,47.6441,[object Object],47.64410000000002,-117.59261999999997
"West Central Comm Center","West Central CC-Cheney","204 4th St","Cheney",99004,"WA",-117.5799,47.48742,[object Object],47.48741999999998,-117.57989999999998
"West Central Comm Center","West Central CC-Fairchild AFB","610 N Depot Ave, Rm 306, Bldg 2447","Fairchild Afb",99011,"WA",-117.65562,47.63347,[object Object],47.63346999999997,-117.65562
"West Central Comm Center","West Central CC-Spokane","1603 N Belt","Spokane",99205,"WA",-117.44316,47.67278,[object Object],47.67278000000002,-117.44315999999998
"Whitman County Health Dept","Whitman CHD-Colfax","N 310 Main St, Ste 108","Colfax",99111,"WA",-117.3649,46.8788,[object Object],46.87880000000004,-117.36489999999999
"Whitman County Health Dept","Whitman CHD-Pullman","1205 SE Professional Mall Blvd, Ste 203","Pullman",99163,"WA",-117.16634,46.72043,[object Object],46.72042999999999,-117.16633999999999
"Yakama Nation","Yakama Nation-White Swan ","80 Birdsong Lane","White Swan",98952,"WA",-120.73467,46.379444,[object Object],46.379443999999985,-120.73466999999997
"Yakama Nation","Yakama Nation-Toppenish","401 Buster Rd","Toppenish",98948,"WA",-120.34533,46.37744,[object Object],46.37743999999999,-120.34532999999998
"Yakima Neighborhood Health Services","Yakima NHS-Sunnyside","617 Scoon Road","Sunnyside",98944,"WA",-120.0208,46.33328,[object Object],46.33328000000006,-120.0208
"Yakima Neighborhood Health Services","Yakima NHS-Yakima","12 South 8th St","Yakima",98901,"WA",-120.49553,46.60373,[object Object],46.603730000000056,-120.49552999999999
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Yakima Memorial Hospital ","218 SOUTH 29TH AVE","Yakima",98902,"WA",-120.5479,46.60114,[object Object],46.60114000000006,-120.54790000000003
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Lincoln Ave Yakima","2205 W Lincoln Ave","Yakima",98902,"WA",-120.539,46.60395,[object Object],46.60394999999998,-120.539
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Walla Walla","1120 W Rose","Walla Walla",99362,"WA",-118.35605,46.06193,[object Object],46.06192999999999,-118.35605
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Grandview","1000 Wallace Way","Grandview",98930,"WA",-119.92264,46.26623,[object Object],46.26623000000006,-119.92263999999997
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Granger","121 Sunnyside Ave","Granger",98932,"WA",-120.19453,46.34385,[object Object],46.343850000000046,-120.19452999999996
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Prosser","820 Memorial St, Ste 1","Prosser",99350,"WA",-119.7639,46.20738,[object Object],46.207379999999986,-119.7639
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Toppenish","510 W 1st Ave","Toppenish",98948,"WA",-120.31649,46.37447,[object Object],46.37446999999998,-120.31648999999999
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Wapato","620 W 1st St","Wapato",98951,"WA",-120.42717,46.44823,[object Object],46.44823000000003,-120.42716999999999
"Yakima Valley Farmworkers Clinic","Yakima Valley FWC-Yakima","602 E Nob Hill Blvd","Yakima",98901,"WA",-120.49397,46.58412,[object Object],46.58411999999997,-120.49396999999999
