inCredenti,inStatus,inFirstDat,inEffectiv,inExpirati,inFacility,inAddress1,inCity,inState,inCounty,inZip,inPlus4,Source,acAddress1,acAddress2,acCity,acState,acZip,acPlus4,acCounty,acCountyFi,acNumber,acPreDir,acStreetNa,acStreetTy,acPostDir,acUnitNum,acUnitType,acAddressT,acRBDI,acGarbage,acFound,acStatusCo,acErrorCod,acChangeCo,acResultCo,Accuracy,Av_score,Av_date,Certainty,Geolevel,Quality,X_coord,Y_coord,X_coords,Y_coords,Review,longitude,latitude
"PHAR.CF.60341044","ACTIVE","05/23/2013","06/01/2020","05/31/2021","United Care Pharmacy- Long Term Care","18230 E Valley Hwy Ste 188","KENT","WA","King","98032","1231","TIGER10 Streets","18230 E VALLEY HWY STE 188"," ","KENT","WA","98032","1231","King","53033","18230","E","Valley","Hwy"," ","Ste 188","Ste","Highrise"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.22208,47.43896,"-122.22208","47.43896",0,47.43896000011873,-122.22208000004719
"PHAR.CF.60391502","ACTIVE","08/16/2013","06/01/2020","05/31/2021","Unity Care Northwest","218 Unity St","BELLINGHAM","WA","Whatcom","98225","4420","TIGER10 Streets","218 UNITY ST"," ","BELLINGHAM","WA","98225","4420","Whatcom","53073","218"," ","Unity","St"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.47655,48.75311,"-122.47655","48.75311",0,48.7531099999585,-122.4765499998481
"PHAR.CF.60925346","ACTIVE","04/23/2019","06/01/2020","05/31/2021","Unity Care Northwest","6060 Portal Way","FERNDALE","WA","Whatcom","98248","7833","TIGER10 Streets","6060 PORTAL WAY"," ","FERNDALE","WA","98248","7833","Whatcom","53073","6060"," ","Portal","Way"," "," "," ","Highrise"," "," ","Yes","9"," ","Street Address Match","AE09,AS02","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.58465,48.86156,"-122.58465","48.86156",0,48.86155999991514,-122.58465000025454
"PHAR.CF.00004961-HOSP","ACTIVE","10/10/1994","06/01/2020","05/31/2021","University of Washington Medical Center","4245 Roosevelt Way NE","SEATTLE","WA","King","98105","6008","TIGER10 Streets","4245 ROOSEVELT WAY NE"," ","SEATTLE","WA","98105","6008","King","53033","4245"," ","Roosevelt","Way","NE"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.31785,47.65873,"-122.31785","47.65873",0,47.65872999985735,-122.31784999974833
"PHAR.CF.60799625","ACTIVE","03/23/2018","06/01/2020","05/31/2021","UP Pharmacy","7311 40th St W","UNIVERSITY PLACE","WA","Pierce","98466","4316","TIGER10 Streets","7311 40TH ST W"," ","UNIVERSITY PLACE","WA","98466","4316","Pierce","53053","7311"," ","40th","St","W"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.53495,47.22088,"-122.53495","47.22088",0,47.22087999971065,-122.53495000018653
"PHAR.CF.60443683","ACTIVE","02/21/2014","06/01/2020","05/31/2021","UW Medicine Eastside Specialty Clinic","3100 Northup Way","BELLEVUE","WA","King","98004","1467","TIGER10 Streets","3100 NORTHUP WAY"," ","BELLEVUE","WA","98004","1467","King","53033","3100"," ","Northup","Way"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.19563,47.64122,"-122.19563","47.64122",0,47.64121999982148,-122.19563000033001
"PHAR.CF.60848981","ACTIVE","07/03/2019","06/01/2020","05/31/2021","UW Medicine South Lake Union Pharmacy","750 Republican St Bldg F","SEATTLE","WA","King","98109","4766","TIGER10 Streets","750 REPUBLICAN ST BLDG F"," ","SEATTLE","WA","98109","4766","King","53033","750"," ","Republican","St"," ","Bldg F","Bldg","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.34232,47.62327,"-122.34232","47.62327",0,47.62326999974753,-122.34232000028987
"PHAR.CF.61024983-HOSP","ACTIVE","01/02/2020","06/01/2020","05/31/2021","UWMC - Northwest Pharmacy","1550 N 115th St","SEATTLE","WA","King","98133","8401","TIGER10 Streets","1550 N 115TH ST"," ","SEATTLE","WA","98133","8401","King","53033","1550","N","115th","St"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.33913,47.71235,"-122.33913","47.71235",0,47.71234999971608,-122.33913000007098
"PHAR.CF.00058959","ACTIVE","01/04/2007","06/01/2020","05/31/2021","Valley Drug Co","102 E Main Ave","CHEWELAH","WA","Stevens","99109","8960","TIGER10 Streets","102 E MAIN AVE"," ","CHEWELAH","WA","99109","8960","Stevens","53065","102","E","Main","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",91,"09/01/2020 12:31","1","CENSUS TRACT","03",-117.71564,48.27631,"-117.71564","48.27631",0,48.276310000066744,-117.71563999996131
"PHAR.CF.00001059-HOSP","ACTIVE","07/31/1967","06/01/2020","05/31/2021","Valley Medical Center Pharmacy","400 S 43rd St","RENTON","WA","King","98055","5714","TIGER10 Streets","400 S 43RD ST"," ","RENTON","WA","98055","5714","King","53033","400","S","43rd","St"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.21435,47.44118,"-122.21435","47.44118",0,47.44118000003309,-122.21434999972227
