Provider Name,Region Served,Program Type,Phone
Byrd Barr Place,City of Seattle,LIHEAP / SHEAP,(206) 812-4940
Hopelink,North & East King Co.,Energy / Bills,(425) 658-2592
Multi-Service Center,South King County,Energy / Water,(253) 517-2263
St. Vincent De Paul,Central King County,Emergency Bill Pay,(206) 767-6449
Salvation Army,Renton / South King,Electric / Heat,(425) 255-5969
