Organization Name,Focus Area,Phone,Location
Solid Ground,Benefits & Basic Needs,(206) 694-6741,"Seattle, WA"
King County Bar Association,General Pro Bono,(206) 267-7100,"Seattle, WA"
Eastside Legal Assistance,General Legal / Civil,(425) 747-7274,"Bellevue, WA"
Lavender Rights Project,LGBTQ+ / Black Community,(206) 475-4128,Statewide
Northwest Justice Project,Low-Income / Civil,(206) 464-1519,Seattle (HQ)
Entre Hermanos,Latino / LGBTQ+ Support,(206) 538-0266,"Seattle, WA"
